T1,T2
1,2.1333
4.1167,4.9167
6.5167,8.3167
11.3,15.833
20.35,21.683
24.233,25.6
28.267,33.683
39.117,40.733
42.5,43.8
46.65,51.133
56.55,58.817
58.85,61.167
70.033,72.833
78.483,81.383
81.417,83.133
87.833,88.75
90.533,92.217
94.317,95.683
99.767,100.9
100.93,105.1
111.12,111.9
111.93,113.38
113.85,114.77
114.8,116.02
120.13,120.77
122.38,123.08
124.27,124.8
126.47,127.07
127.1,127.87
130.18,131.08
131.12,135.03
141.68,143
145.47,146
150.52,155.42
159.83,160.8
162.53,163.02
164.85,165.37
167.48,168.47
170.43,172.45
174.73,179.75
183.97,184.68
186.87,187.52
189.25,190.05
192.05,193.27
195.6,196.85
199.38,199.9
199.93,200.7
201,201.8
212.23,213.72
216.25,219.5
219.53,220.05
220.08,220.97
229.28,230.75
232.47,233.95
238.15,238.65
238.68,239.3
241.68,243.28
243.32,246.4
256.18,257.02
258.83,260.12
262.72,263.27
264.9,266.08
268.45,269.97
272.92,276.85
283.95,284.77
286.53,287.68
289.63,290.72
291.15,291.92
296.13,297.12
