T1,T2
0,5.05
8.8,20.783
21.3,26.1
29.033,33.583
34.317,34.783
35.85,35.883
38.217,47.917
50.35,50.383
52.533,55.467
58.033,61.367
62.117,67.983
68.617,71.733
73.35,73.383
75.933,81.817
82.333,85.483
86.017,89.2
89.95,94.283
94.95,96.5
97.5,97.533
101.28,104.6
105.25,111.7
115.62,120.8
121.43,123.1
127.18,132.95
133.57,135.57
136.22,136.6
139.03,140.57
143,143.67
144.78,148.22
152.75,152.78
155.52,161.4
165.7,176.13
176.65,177.57
178.13,179.78
180.35,183
183.7,184.27
187.17,187.2
188.55,196.97
201.22,207.1
207.85,209.77
210.35,212.25
213.72,213.75
214.95,215.65
216.45,220.13
221.02,221.05
222.6,222.63
226.4,229.2
229.7,234.33
238.37,241.45
242.38,246.68
247.42,250.22
254.9,258.1
263.7,271
271.65,276.25
280.57,285.85
290.12,293.1
294.32,294.35
297.05,299.88
