T1,T2
1.65,5.4333
7.8833,12.483
19.433,23.333
27.95,32.917
38.5,43.517
46.45,50.633
53.983,58.017
64.183,67.017
67.05,69.117
73.4,78.917
81.183,86.9
89.517,104.3
106.67,108.77
113.48,121.8
125.55,128.15
135.03,139.2
146.05,147.72
153.57,157.72
160.38,163.97
170.85,172.88
183.52,186.93
186.97,191.15
196.03,198.45
204.92,208.15
211.17,213.15
217.85,220.12
227.65,231.4
232.73,234.82
234.85,237.77
241.38,244.82
250.02,254.07
258.98,261.28
265.07,268.63
271.72,276.9
283.33,286.62
290.02,291.82
292.37,295.67
