T1,T2
12.317,12.7
17.1,17.55
26.35,26.833
29.767,30.15
31.317,31.667
37.45,37.817
39.317,39.633
57.15,57.417
59.233,59.7
61.067,61.417
64.783,65.2
83,83.45
96.133,96.617
102.53,102.9
113.55,113.82
115.02,115.45
119.02,119.32
123.15,123.48
141.75,142.18
148.27,148.67
168.13,168.43
171.2,171.58
172.95,173.27
175.57,176
178.87,179.18
181.82,182.3
186.28,186.63
207.25,207.58
208.6,208.9
232.1,232.55
235.02,235.42
242.63,243.08
245,245.48
255.5,255.97
260.42,260.82
267.22,267.63
274.48,274.75
281.35,281.72
287.1,287.43
288.8,289.08
295,295.38
