T1,T2
2.169,2.3826
9.9742,10.385
12.127,12.423
16.563,16.859
23.876,24.139
27.836,28.066
31.254,31.615
39.93,40.16
43.512,43.726
46.125,46.519
49.444,49.658
52.106,52.369
54.144,54.39
55.524,55.869
57.529,57.824
60.618,60.946
64.233,64.578
66.928,67.339
68.785,68.982
70.181,70.543
72.662,72.893
74.947,75.259
77.231,77.707
79.761,80.123
82.752,83.064
84.379,84.691
85.907,86.104
93.63,93.991
95.569,95.799
96.801,97.097
100.09,100.45
101.73,102.13
105.36,105.64
106.71,106.97
112.36,112.63
114.32,114.55
118.08,118.33
120.17,120.36
122.96,123.17
126.18,126.53
129.07,129.47
130.88,131.28
133.18,133.36
134.76,134.96
136.25,136.5
140.15,140.63
143.83,144.16
145.6,145.93
148.4,148.71
150.29,150.68
153.36,153.8
158.54,158.8
160.23,160.43
167.1,167.44
168.72,168.99
170.84,171.25
180.49,180.9
182,182.2
183.91,184.24
186.5,186.96
192.17,192.4
195.59,195.92
196.99,197.23
202.51,202.92
204.3,204.55
209.34,209.76
215.21,215.56
216.97,217.18
223.16,223.43
234.91,235.32
236.57,236.72
237.85,238.08
245.45,245.89
247.04,247.35
247.99,248.19
249.26,249.47
251.69,251.97
257.28,257.54
260.38,260.73
276.21,276.53
280.13,280.61
282.47,282.83
290.21,290.53
291.14,291.47
292.92,293.23
294.58,294.74
