Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
0,-0.0255872389071797,0.0338225508263802,0.0288145871432674,0.0320029567056564,0.00442009203863904,0.0461451660346622,2.08612825879902,0.00501472974568647,0.0036141404505015,0.00146427729119591,0.00685150801761324,861.1953,1377.4977,1381.1532,1085.7712,860.1583,1232.2671,1513.5004,1132.0986,476.8862,2020.7273,2724.5518,1361.5909,628.5933,2088.9934,3771.1006,1351.1443,0.553749190224331,1.46695511723903,1.97266443722536,1.25403114394635,0.730787925896896,1.69524399377375,2.49164162758067,1.19348641540587,0.642268558060614,1.58109955550639,2.23215303240302,1.22375877967611
0.1,-0.00945109332187746,0.125348277851867,0.0189493066131327,0.0420369092169521,0.015050658661135,0.0521864768906396,1.91823884523956,0.0234367840247783,0.0275134532669507,0.00712693945049633,0.0406229532842165,898.8251,1417.0046,1468.4739,1259.1525,904.0946,1365.9678,1622.2759,1253.3383,530.7598,2218.0139,2853.9126,1424.3605,684.8276,2251.4509,4000.9851,1516.6294,0.59050398125286,1.56528348602397,1.9434547662032,1.13120571177836,0.757473388293659,1.64824595426042,2.46627907127265,1.21007185370462,0.673988684773259,1.60676472014219,2.20486691873792,1.17063878274149
0.2,0.106140024751923,0.225421479379689,0.00967679998802915,0.0386753321165292,0.021091898543757,0.0486157154275056,1.6603622729276,0.0565097951183357,0.0921093528381283,0.0326116280923808,0.125982667279194,930.4663,1517.5286,1454.3833,1294.7799,897.4933,1282.4484,1603.6173,1255.8267,576.1124,2339.6287,2781.3752,1531.7573,738.7595,2543.5745,3747.8596,1509.7554,0.619165250799518,1.54173614915725,1.91240864770656,1.18302523849806,0.823136506980052,1.98337375601233,2.33712844080692,1.20220043099896,0.721150878889785,1.76255495258479,2.12476854425674,1.19261283474851
0.3,0.155689572806878,0.262355123348156,0.00400609537271778,-0.000335702060219856,-0.00359400981349767,0.0342250861996511,1.5280907022452,0.0847673422994852,0.173047078184929,0.0700185809015571,0.231325996080023,923.1285,1485.5593,1439.2037,1185.5425,888.6569,1194.7906,1603.7983,1246.3308,596.4241,2510.6812,2624.6304,1517.0693,763.2432,2649.2832,3771.9336,1518.8574,0.646090008054133,1.69005787921088,1.82366846333149,1.27964142997826,0.85887275505316,2.21736193773202,2.35187529504178,1.21866313502001,0.752481381553646,1.95370990847145,2.08777187918664,1.24915228249914
0.4,0.0229661372694449,0.286312336289911,0.0106424532455227,-0.0768908902238903,-0.0320041492806289,0.0847645304904743,1.80550153283127,0.10447350241935,0.205584236871335,0.0827550823748766,0.338771180614817,924.6285,1450.168,1465.7562,1291.189,867.099,1236.4806,1617.196,1241.4097,631.8132,2649.2759,2485.3738,1451.4091,796.5137,2718.0039,3563.8704,1491.1592,0.68331573166953,1.82687516205019,1.69562564360976,1.12408725600977,0.9185960311337,2.19817755329117,2.2037343649131,1.20118217217088,0.800955881401615,2.01252635767068,1.94968000426143,1.16263471409033
0.5,-0.233446233169778,0.295644397174589,0.0298321742631342,-0.0911878574214201,-0.0353722583582171,0.104665996248264,2.3505558276827,0.129438382126627,0.125996980439956,0.0495210536855188,0.494480439779001,941.5098,1499.8613,1494.4948,1274.6569,896.7728,1309.6886,1677.9985,1297.0066,641.1348,2726.8828,2376.7866,1528.662,814.4677,2765.8228,3455.5938,1515.4287,0.680964552891537,1.81808997938676,1.59036123779086,1.19927331033159,0.908220789033744,2.11181711438887,2.05935452266495,1.16840477141751,0.79459267096264,1.96495354688782,1.8248578802279,1.18383904087455
0.6,-0.4896395979306,0.248880887356833,0.0306235107835328,-0.0620199805382178,-0.0268857269007185,0.0816618775722494,2.78666396239883,0.175360601056939,-0.0338376573486528,-0.0140576205243032,0.693339354812891,903.309,1465.1926,1506.6207,1299.2755,925.4624,1311.3718,1681.814,1327.6426,689.738,2737.0725,2232.5894,1535.007,947.3086,2846.1785,3355.3457,1554.6351,0.763568169917492,1.8680632839669,1.48185233350371,1.18143303710414,1.02360571320888,2.17038257189914,1.99507537694418,1.17097410101182,0.893586941563185,2.01922292793302,1.73846385522395,1.17620356905798
0.7,-0.720718400705266,0.1447422458897,0.0388775928552949,-0.0369163010839096,-0.0248052072320996,0.0635319072701067,1.66349711810218,0.236407651132784,-0.20203766875792,-0.0857778784266,0.885357632001425,892.7648,1504.5516,1507.3696,1321.5754,904.4907,1305.1034,1640.5624,1277.7612,693.7198,2621.302,2310.3064,1600.8666,931.1786,2790.6458,3269.9736,1656.5621,0.777046541261483,1.74224798936773,1.53267413645598,1.21133202085935,1.02950599713187,2.13825647837558,1.9932028187407,1.29645672446463,0.903276269196675,1.94025223387166,1.76293847759834,1.25389437266199
0.8,-1.0049097300732,0.0764064842452999,0.0465071060134534,-0.0105096232381582,-0.00384513458956943,0.0523087297469783,-2.39522678721009,0.3138509500353,-0.337798975112538,-0.149519416619582,1.04403917227003,905.9515,1548.0909,1481.6857,1270.6118,917.7259,1317.6201,1609.6222,1307.0348,735.4467,2648.7612,2211.3433,1608.0884,981.3616,2754.4309,3270.7122,1666.9851,0.811794781508723,1.710985575847,1.49245099686121,1.2656016574063,1.06934063863731,2.09045907845516,2.03197508086059,1.27539458015961,0.940567710073017,1.90072232715108,1.7622130388609,1.27049811878295
0.9,-1.27880958608858,0.0569844255584222,0.0392802765771171,0.00686617644857365,0.00610473343523901,0.0465554282809493,-3.08936265187458,0.407991173927556,-0.419178219707181,-0.188937049026646,1.166544335054,903.1552,1459.4469,1494.0818,1278.0226,908.5605,1307.702,1619.1005,1264.9386,745.4396,2485.6379,2128.9495,1671.0121,955.5535,2687.5181,3255.2202,1669.9917,0.825372649130515,1.70313692125421,1.42492164752961,1.30749808336723,1.05172247747949,2.05514566774387,2.01051151549888,1.32021562153293,0.938547563305,1.87914129449904,1.71771658151425,1.31385685245008
1,-1.49293335646411,0.104436223491978,0.034068504566111,0.028154142384242,0.0159682330639949,0.050162564590073,0.993998064954793,0.498876752336908,-0.442222827199924,-0.201108838232957,1.25414606408057,920.368,1489.5486,1528.7771,1217.6638,967.9832,1263.3302,1580.0549,1261.6675,734.9754,2346.738,2054.4626,1696.8683,1002.618,2674.5557,3160.5837,1621.2073,0.798566877596787,1.57546923947295,1.34386013500595,1.39354417861482,1.0357803730478,2.1170678101418,2.00029992628737,1.28497191217179,0.917173625322292,1.84626852480737,1.67208003064666,1.3392580453933
1.1,-1.67150721882928,0.290032878416456,0.0369619599104094,0.0568417965036187,0.0280440510190391,0.0755599579742222,2.80743033954906,0.577976370606218,-0.400351987461318,-0.179331616845305,1.32594910103173,904.1264,1450.0308,1432.3328,1305.5061,940.0875,1311.0886,1612.8973,1278.7512,809.132,2476.6379,1963.4274,1599.5234,1004.099,2513.9128,2946.6885,1683.2396,0.894932389984409,1.70798985787061,1.37078994490666,1.22521327169593,1.06809100216735,1.91742403983987,1.82695358222746,1.31631516748528,0.98151169607588,1.81270694885524,1.59887176356706,1.27076421959061
1.2,-1.82740744409809,0.5523107627726,0.0483414284030267,0.0514669365401206,0.018343914525017,0.0753123097281164,2.47013065707488,0.651489993611921,-0.292331146883116,-0.125781523581665,1.41053254644797,932.3848,1443.8167,1506.7875,1215.286,946.1459,1288.0859,1578.7854,1222.6401,785.2921,2478.2095,1925.5453,1582.7036,1012.901,2547.0537,3010.3735,1570.0787,0.84224034969253,1.71642944703438,1.27791430443908,1.30233015109201,1.070554763277,1.97739428713566,1.9067654793362,1.28417078746231,0.956397556484763,1.84691186708502,1.59233989188764,1.29325046927716
1.3,-1.96674684408147,0.817314651529289,0.0467017579144598,0.030193795107467,0.010802857333056,0.0584634333221802,2.2327391664233,0.727804777528036,-0.154516883896514,-0.0642029509580004,1.49886642666327,918.7507,1556.3483,1502.1869,1264.4852,893.0566,1351.2604,1598.5596,1250.4659,813.9059,2502.0046,1816.5269,1765.5841,984.4403,2500.1785,2883.0806,1668.0406,0.885883297830412,1.60761225491749,1.20925492027657,1.39628688418022,1.10232688499251,1.85025661967153,1.80354902000526,1.33393529563661,0.99410509141146,1.72893443729451,1.50640197014091,1.36511108990841
1.4,-2.09492457483029,1.07772698972583,0.0471412719040237,0.0189759000634557,0.00529641557626532,0.0549738693187403,2.1056576540372,0.804301206649826,-0.0285334614955753,-0.0130186362016486,1.56929057369543,872.0513,1552.1633,1505.4338,1326.8457,887.0513,1336.9369,1678.8353,1314.1102,767.2458,2218.5671,1982.7859,1715.045,1024.9673,2424.4954,2963.6799,1696.4626,0.879817276804702,1.42933871713112,1.31708607844463,1.29257305502818,1.15547691548392,1.81347032907836,1.76531902801901,1.29095916004609,1.01764709614431,1.62140452310474,1.54120255323182,1.29176610753713
1.5,-2.17981930269381,1.37214825590332,0.0466619163741672,0.0257077185603272,0.0107569144114332,0.0568153091033703,1.97443250364098,0.880751660025843,0.0725489318269409,0.0278169880279867,1.62308942541992,985.8097,1494.9244,1543.8075,1268.2357,908.3333,1400.1329,1606.6166,1320.291,754.4241,2297.9539,1893.5004,1737.9913,995.0248,2559.259,2830.551,1773.2289,0.76528370536423,1.53717064220773,1.22651327966732,1.37040086476039,1.09544018698863,1.82786862589973,1.7618086356135,1.34305914377967,0.93036194617643,1.68251963405373,1.49416095764041,1.35673000427003
1.6,-2.18914394476514,1.6208589630322,0.0374461630981399,0.0328726451607713,0.012227691416131,0.0551789294632155,1.77603097941341,0.949961214409504,0.164024536780351,0.0648639911659466,1.66515043903732,880.5014,1460.9276,1500.4788,1301.7123,922.4775,1337.6013,1603.5524,1234.4751,780.059,2141.1865,1886.4163,1779.3345,1027.0009,2323.9517,2765.3635,1716.073,0.885925905398901,1.46563491578912,1.2572095653734,1.36691840432022,1.11330726223675,1.73740239337387,1.72452331461074,1.39012362420271,0.999616583817825,1.60151865458149,1.49086643999207,1.37852101426146
1.7,-2.12355693177517,1.84785550504691,0.0375468033824846,0.0269141140797889,0.0166603386331051,0.052982100926221,1.59562606999086,1.00192525874819,0.252698984914715,0.100779291163135,1.69552539536124,932.625,1453.9893,1474.1018,1222.3188,970.8223,1270.741,1654.9907,1313.2794,729.9354,2213.5715,1878.3552,1674.7227,1031.7533,2325.6389,2679.3613,1642.9303,0.782667631684761,1.52241251018835,1.27423709814343,1.37011939929256,1.06276225834532,1.83014390816067,1.61895852345273,1.25101353146939,0.922714945015042,1.67627820917451,1.44659781079808,1.31056646538097
1.8,-1.98150821953473,2.07798658066331,0.0432546440804584,0.0441057957049321,0.0228210995220509,0.0679131900806458,1.38364786213061,1.04193283549955,0.333537374084238,0.139422342425117,1.71830085295892,950.8975,1411.4268,1540.2076,1341.7852,910.8134,1272.4524,1593.9066,1308.3524,793.5962,2053.0168,1983.0553,1581.7765,1021.0619,2285.9006,2786.4861,1672.8118,0.834575966389648,1.45456838427611,1.28752468173771,1.17885970123981,1.12104400308559,1.79645273960739,1.74821165807331,1.27856363469047,0.977809984737621,1.62551056194175,1.51786816990551,1.22871166796514
1.9,-1.76624036321719,2.28472787892954,0.0457331376722382,0.0516499698317418,0.0247038027490858,0.0743511410282703,1.09496524467274,1.0790770778007,0.421654764898534,0.184664132298701,1.74903196919092,913.7865,1535.1694,1559.0521,1302.4194,929.1547,1337.8108,1677.819,1280.9329,812.7844,2152.4807,2074.0762,1697.7296,1091.702,2237.0027,2965.134,1662.9792,0.889468601254232,1.40211282220711,1.3303443804091,1.30351989535782,1.17494105125874,1.67213682233691,1.76725498996018,1.29825629429926,1.03220482625649,1.53712482227201,1.54879968518464,1.30088809482854
