T1,T2
30.032,31.215
35.198,35.798
36.981,38.015
39.531,40.115
46.864,47.431
50.064,50.597
53.631,54.364
66.03,66.58
69.397,69.93
71.363,71.846
89.362,90.129
103.11,103.94
106.63,108.49
113.71,114.21
123.19,123.68
124.74,125.34
141.99,142.73
150.23,150.96
154.24,154.73
155.63,156.18
171.64,172.46
177.51,178.61
181.99,182.57
184.46,185.27
190.51,191.16
193.46,196.26
215.76,216.29
224.29,225.06
228.12,228.81
239.75,240.4
243.37,244.35
247.15,248
259.39,260.25
261.32,262.57
271.84,272.39
274.07,274.99
277.85,278.49
282.37,282.99
285.67,289.15
290.79,291.3
291.99,292.67
292.7,293.19
293.7,294.49
295.35,296.19
299.32,300.24
