Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
0,0.00598660517720602,0.01492407910906,-0.000457575549555248,0.00115753332262354,0.00014624736435604,0.0128147092794313,2.95810739116838,-0.000192521396662293,2.08785435140218e-05,-0.000741997534019415,0.00270631710758984,1081.9375,1479.6809,1445.6909,1015.6272,1439.0526,2007.9496,1694.9839,1251.9347,625.679,1228.7874,1681.1843,522.5707,945.3008,2321.3162,2113.1025,623.8565,0.57829495696378,0.830440806527948,1.16289332664403,0.514530036218014,0.65689106847102,1.15606298086366,1.246679983214,0.498313929632272,0.6175930127174,0.993251893695806,1.20478665492901,0.506421982925143
0.1,0.00693180666234557,0.0160928679067111,-0.000141536614503137,0.000584630499485934,0.00109606813553363,0.00835500756455366,2.9589428873976,-0.000592384060206796,0.000380776187215402,-0.00106351849004542,0.0110200217674864,1137.2485,1636.6753,1541.4633,1180.8147,1649.4939,2112.1362,1834.6108,1369.5621,705.9639,1465.8696,1803.2594,589.911,1159.798,2795.4434,2245.4897,684.1467,0.620764854822847,0.895638615674105,1.16983609016186,0.499579654623202,0.70312354595552,1.32351474303598,1.22395970851147,0.499536822755244,0.661944200389183,1.10957667935504,1.19689789933667,0.499558238689223
0.2,0.00671953883631557,0.0158229589317889,-0.000243797073595756,0.0016983057969131,0.000918613662985663,0.00650673925492081,2.95504470945441,-0.00100386092719748,0.000949922023878726,-0.0014835028926143,0.0266035052098829,1159.7026,1639.7753,1586.0481,1157.1204,1616.8002,2183.0586,1877.3608,1445.774,725.594,1540.2595,1767.8531,603.422,1170.1532,3012.2312,2201.6116,728.2195,0.625672478444043,0.939311319056946,1.11462767112801,0.521485923158904,0.723746323138753,1.37982150364631,1.17271629406558,0.503688335797988,0.674709400791398,1.15956641135163,1.1436719825968,0.512587129478446
0.3,0.00998762475223558,0.00992181243823338,-0.00129568549042968,-0.00136552898744233,-0.00187560842477477,0.00727937399604438,2.95723731692577,-0.00149892863763762,0.00202838583258152,-0.00185191551283572,0.0429828372431536,1193.1002,1615.3459,1544.7382,1201.4943,1692.8971,2156.7466,1916.9941,1417.743,791.8629,1701.2533,1727.527,600.6408,1329.7708,3300.5723,2071.73,668.1167,0.663701925454375,1.05318204602494,1.11832995390416,0.499911485223026,0.785500075580495,1.53034774692586,1.08071798447371,0.471253746271362,0.724601000517435,1.2917648964754,1.09952396918894,0.485582615747194
0.4,0.03446285205738,-0.0160268922649222,-0.00909931689892802,-0.01639317849301,-0.00549958749721921,0.0237176443436777,3.0100048376106,-0.00411819614267538,-0.00128902370886938,-0.00458967651748202,0.0620930555890109,1115.2761,1603.5861,1563.5758,1144.4377,1582.4897,2172.1865,1897.0818,1422.8148,838.5956,1722.4963,1604.726,579.5424,1351.1223,3395.009,2013.6108,674.4005,0.7519174848273,1.07415267568109,1.02631800773586,0.506399256158723,0.853795320121199,1.56294544690339,1.06142539557335,0.473990360516351,0.802856402474249,1.31854906129224,1.0438717016546,0.490194808337537
0.5,0.111530573879249,-0.0473130195945111,-0.0144686710636673,0.000291034843437628,0.000646785858254104,0.0307651603726016,3.07295954330843,-0.0166149483118436,-0.01908760786494,-0.0122661042937996,0.0973725256827502,1231.293,1694.4014,1616.7756,1240.0492,1713.2424,2292.4714,1931.163,1433.6917,922.5792,1882.2635,1523.0359,634.0189,1539.1414,3637.8853,2009.5831,692.9261,0.749276735919071,1.11087225258431,0.942020587148891,0.511285278035743,0.898379236936933,1.58688361390245,1.04060770634069,0.483315973720152,0.823827986428002,1.34887793324338,0.991314146744789,0.497300625877947
0.6,0.13825704864183,0.0257110217893,0.0109663900558154,0.0138163717946944,0.0153000642909191,0.0429148819931271,2.98156050238843,-0.0375301890563029,-0.0256576425735937,-0.0128899683347604,0.152673702060916,1230.786,1701.2275,1610.0057,1229.9236,1633.2157,2160.7473,1884.2423,1401.4572,918.3495,1852.4774,1458.3467,625.267,1431.5116,3385.521,1883.8931,638.2602,0.746148802472566,1.08890633380897,0.905802196849365,0.508378731817163,0.876498799270666,1.56682875410743,0.999814673516246,0.455426109338195,0.811323800871616,1.3278675439582,0.952808435182806,0.481902420577679
0.7,0.0561129132463056,0.0824160781124889,0.0179543798817351,0.000184655256883089,-0.000167295446510499,0.0330687782395986,2.95251054907361,-0.0389401697600241,-0.0136472163090523,0.00199856201960893,0.226980999810492,1162.7788,1659.3956,1620.2072,1253.6189,1598.6506,2233.9141,1895.3995,1354.5996,959.5331,1841.1572,1411.5432,631.4901,1490.1115,3327.6399,1888.3628,676.8062,0.825206909517098,1.10953482099145,0.871211533932203,0.503733710460173,0.932105802230957,1.4896006520573,0.99628748451184,0.499635611881179,0.878656355874027,1.29956773652438,0.933749509222022,0.501684661170676
0.8,-0.0556015518445478,0.0807967183555556,0.0285644040748732,-0.00738464634614581,-0.00472871801552112,0.0449807641963766,2.94899325359941,-0.0180825893684293,-0.00181969573295604,0.011780847425749,0.303376826286859,1174.1171,1660.5511,1517.8369,1258.0105,1614.7975,2253.304,1912.3145,1396.6328,999.493,1840.6123,1367.5505,572.6147,1520.517,3249.3616,1832.2365,634.1263,0.851271989821118,1.10843460342774,0.900986463038288,0.455174817698262,0.941614660661786,1.44204315085759,0.958125088734097,0.454039386730714,0.896443325241452,1.27523887714266,0.929555775886193,0.454607102214488
0.9,-0.217241774425584,0.0362156601487,0.0206248013065456,-0.0270147697519176,-0.0122035113526133,0.0558821769279333,0.989459276399793,0.0251382965311925,-0.00705508411904616,0.00806724166598934,0.39249743678276,1206.3179,1628.0309,1536.5244,1235.3822,1764.7988,2282.0007,1855.0387,1370.5718,1034.564,1889.5483,1297.3784,601.5466,1717.4897,3317.0825,1807.288,671.7848,0.857621361665942,1.16063417469533,0.844359126350353,0.486931574698098,0.973192921482041,1.45358522457947,0.97425891977348,0.49014929389325,0.915407141573992,1.3071096996374,0.909309023061916,0.488540434295674
