Start,Stop
0,6.85
7.5667,14.183
15.1,17.8
18.383,20.383
22.283,22.817
23.817,30.483
31.717,36.433
37.483,38.2
38.95,40.65
41.367,45.717
46.533,47.283
48.65,52.15
53.05,59.767
60.267,67.733
68.417,70.6
71.283,75.1
76.033,77.433
78.083,79.733
84.417,85.15
88.983,99
99.95,101.33
102.02,104.68
105.65,132.38
132.95,153.67
154.33,163.27
164.1,174.88
175.5,177.27
178.22,179.05
179.55,180.28
180.77,183.35
184.38,187.93
188.58,196.07
197.42,199.65
200.43,216.05
217.08,218.58
219.2,223.5
224.02,225.83
227.08,229.88
231.03,238.38
239.32,240.75
242.05,243.58
244.38,245.47
246.65,250.02
250.5,251.53
252.42,255.35
256.23,258.6
259.55,260.15
260.9,263.13
263.73,265.55
266.27,271.38
272.35,275.55
276.7,301.17
