Stop,Start
0.71667,1.85
5.2,8.5833
9.25,10.667
12.267,12.933
14.6,18.417
19.583,20.717
20.817,21.633
24.4,27.75
28.3,29.317
29.933,30.55
36.85,39
40.017,43.25
48.583,49.383
60.45,61
64.35,65.383
68.75,69.9
72.8,74.733
76.7,78.5
90.017,90.517
95,95.483
95.583,96.8
121.68,123.65
127.25,128.48
134.72,136.6
138.88,140.2
141.13,143.77
148.03,149.95
151.78,153.32
154.85,155.4
156.63,160.13
161.52,163.9
167.38,170.42
170.98,174.17
178.73,180.2
182.38,183.57
184.57,185.65
186.42,187.65
191.5,193.92
194.63,196.8
200.83,201.37
202.48,204.35
206.43,207.17
208.42,209.7
211.17,212.75
214.03,216.95
217.98,218.48
219.75,222.6
224.22,226.1
234.52,235.3
238.92,240.02
241.08,241.65
241.68,248.83
275.62,276.1
294.3,295.4
297.77,303.4
