Start,Stop
2.977,3.0757
5.6086,6.2171
6.7599,16.776
17.303,17.549
18.026,20.757
23.586,30.674
31.234,32.286
32.862,33.602
35.97,39.819
40.51,42.451
43.076,44.326
45,46.168
46.661,47.352
48.092,48.964
49.622,51.579
54.359,58.01
58.569,59.885
60.428,64.424
65.148,70.839
71.53,71.908
74.753,80.247
81.086,84.03
85.099,92.664
93.289,93.947
94.441,95.148
95.938,98.586
99.737,101.5
102.06,104.19
106.73,112.96
113.47,115.23
116.15,117.94
120.51,127.53
128.31,129.72
130.62,132.75
133.31,134.65
135.25,136.04
136.97,138.49
139.88,140.95
141.51,143.32
144,144.75
146.74,152.52
154.31,159.13
159.92,161.05
161.53,163.11
165.28,170.15
170.76,172.89
173.85,175.43
175.95,176.68
177.66,177.7
179.31,184.33
184.95,187.76
190.35,194.79
196.53,197.73
198.31,200.92
201.48,202.34
202.81,203.78
204.67,204.7
206.07,210.49
212.78,215.89
216.46,219.87
220.44,221.64
224.87,229.54
230.08,231.53
232.96,234.42
235.35,236.91
237.48,241.81
242.52,243.82
246.38,248.14
248.73,251.89
252.45,253.45
253.96,257.57
259.13,260.3
260.86,263.19
266.12,272.53
273.03,275.76
276.3,278.88
279.57,283.65
286.35,291.6
292.22,293.44
294,296.86
