Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,AbsHeading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
0.0,0.00906325,0.01638275,-0.00514655,0.00150485,-0.001510525,0.0223965,1.1654,-1.63325e-05,-0.0012657025,-0.000217355,0.002169555,1433.0,2159.3,2011.4,1287.6,1532.7,2195.2,1852.3,1180.5,609.32,3020.8,6028.4,1156.3,632.04,2664.8,5129.6,1018.7,0.4252,1.399,2.9971,0.89805,0.41236999999999996,1.2139,2.7693,0.86293,0.41878999999999994,1.3064,2.8832,0.88049
0.1,-0.065015,0.0394166666666667,-0.004597566666666671,0.0474536666666667,0.0194948333333333,0.0541385,1.3583833333333302,-0.00558116666666667,0.0100483416666667,0.0017703916666666699,0.0277554666666667,1514.6,2344.2,2284.2,1427.0,1742.2,2359.4,2139.3,1410.2,730.85,3235.3,6492.5,1399.5,802.04,2921.8,5762.5,1128.4,0.48253,1.3801,2.8423,0.98075,0.46037,1.2384,2.6936,0.80023,0.47145,1.3092,2.7680000000000002,0.89049
0.2,-0.183328333333333,0.0316618333333333,0.00312173,0.052098,0.0215486666666667,0.0608033333333333,1.62613333333333,-0.013562000000000001,0.068053,0.023077,0.103841166666667,1489.5,2367.6,2278.5,1506.7,1688.6,2447.1,2092.9,1447.6,794.64,3253.2,6307.5,1463.0,859.85,2974.8,5560.6,1238.8,0.5335,1.3741,2.7683,0.9709899999999999,0.5092,1.2156,2.657,0.85577,0.52135,1.2948,2.7126,0.91338
0.3,-0.37454499999999996,0.022223,0.00979203333333333,0.059696000000000006,0.0255812833333333,0.0678538333333333,2.00375,-0.0126474833333333,0.16648833333333302,0.065729,0.22304000000000002,1552.2,2425.6,2263.8,1505.1,1756.3,2379.7,2128.1,1423.9,819.32,3226.2,5991.0,1555.7,903.53,2921.2,5282.8,1320.9,0.52786,1.33,2.6464,1.0336,0.51445,1.2276,2.4824,0.92766,0.5211600000000001,1.2788,2.5644,0.9806299999999999
0.4,-0.60735,0.02382958,0.02741636,0.0951456,0.0499798,0.12297000000000001,2.40358,0.00539266,0.285376,0.1213538,0.36641,1535.3,2338.1,2142.5,1515.8,1773.3,2346.8,2097.8,1419.1,874.98,3100.3,5731.2,1672.1,944.99,2842.7,5021.2,1304.5,0.56992,1.3259999999999998,2.675,1.1031,0.53291,1.2113,2.3935,0.91927,0.55142,1.2687,2.5343,1.0112
0.5,-0.722286666666667,0.21864166666666698,0.00209233333333333,0.0984216666666667,0.0449678333333333,0.11302983333333301,2.94278333333333,0.0354491666666667,0.447215,0.19502833333333303,0.562106666666667,1535.6,2457.6,2175.7,1494.4,1699.3,2417.3,2056.8,1450.5,922.04,3075.1,5475.2,1696.7,1012.9,2833.5,4804.4,1383.8,0.60045,1.2513,2.5165,1.1353,0.59606,1.1722,2.3358,0.9540000000000001,0.59825,1.2117,2.4262,1.0447
0.6,-0.744812,0.40704,0.00627998,0.053984800000000006,0.02655312,0.0634672,2.89866,0.0567504,0.634502,0.27926599999999996,0.78123,1527.9,2353.0,2194.6,1511.6,1715.6,2363.0,2100.9,1352.4,957.67,3039.2,5305.7,1699.5,1069.6,2811.8,4540.3,1378.8,0.62678,1.2916,2.4176,1.1244,0.62346,1.19,2.1611,1.0195,0.62512,1.2408,2.2894,1.0719
0.7,-0.763115,0.50071,0.0196005,0.040447500000000004,0.00929475,0.046186000000000005,2.74325,0.0689375,0.7415649999999999,0.32853000000000004,0.9041950000000001,1554.7,2384.8,2161.3,1465.5,1710.5,2378.3,2117.4,1359.6,998.77,3000.8,5010.3,1704.4,1103.1,2806.3,4270.4,1363.6,0.64244,1.2583,2.3182,1.1631,0.64493,1.1799,2.0168,1.003,0.64369,1.2191,2.1675,1.083
0.8,-0.764555,0.3675883333333329,-0.00318483333333333,-0.0931136666666667,-0.0495573333333333,0.109333666666667,2.9162333333333303,0.0801095,0.813976666666667,0.3621233333333329,1.01584833333333,1544.3,2334.7,2192.2,1524.3,1669.1,2387.4,2084.5,1405.4,975.76,3034.1,4805.9,1792.4,1085.0,2818.8,4098.6,1357.9,0.63183,1.2995,2.1923,1.1759,0.6500600000000001,1.1807,1.9662,0.9662,0.64094,1.2401,2.0792,1.071
0.9,-0.68378,-0.0145188333333333,0.0083293,-0.1296715,-0.0497819166666667,0.1538945,2.4471166666666697,0.0873058333333333,0.7438733333333329,0.325813333333333,1.22598333333333,1558.4,2441.0,2114.8,1507.9,1658.4,2296.7,2044.8,1361.4,989.21,3042.8,4613.0,1703.4,1097.0,2774.4,3803.9,1386.6,0.63478,1.2466,2.1813,1.1297,0.66146,1.208,1.8603,1.0185,0.64812,1.2273,2.0208,1.0741
1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1507.9,2347.7,2161.5,1572.2,1704.8,2364.7,2078.8,1427.9,984.11,3044.8,4312.2,1777.1,1093.9,2734.1,3712.4,1333.2,0.65263,1.2969,1.995,1.1303,0.64163,1.1562,1.7858,0.93368,0.64713,1.2266,1.8904,1.032
1.1,-0.421045,-0.325008333333333,0.019744799999999996,-0.1130545,-0.0705985,0.138219333333333,1.7204166666666698,0.104363833333333,0.4950666666666671,0.20524333333333303,1.5020166666666699,1532.5,2382.4,2187.0,1464.8,1708.5,2300.0,2064.0,1475.3,1060.5,3049.5,4083.4,1729.8,1155.5,2823.7,3545.2,1341.6,0.69201,1.28,1.8672,1.1809,0.6763399999999999,1.2277,1.7177,0.9093600000000001,0.68417,1.2539,1.7924,1.0451
