Stop,Start
2.85,3.5167
10.633,11.9
22.05,22.6
26.583,27.067
28.85,29.683
43.567,44.117
51.233,51.85
57.933,58.633
66.867,67.45
69.933,70.483
74.3,74.883
97.367,98.417
99.55,100.12
114.55,115.37
116.55,117.25
118.1,119.97
120.35,121.87
129.93,130.53
131,131.55
136.5,137.28
140.07,141.23
143.23,143.73
143.95,147.07
160.73,162.1
163.88,164.5
201.42,202.22
206.68,207.35
215.28,216
217.8,218.38
220.33,220.87
228.55,229.05
230.17,230.75
232.7,233.25
235.98,236.72
241.12,241.67
244.3,245.23
249.98,251.3
252.25,252.73
261.4,262.82
262.98,263.48
264.82,268.48
269.22,269.78
269.82,270.6
276.37,277.35
279.15,279.78
282.97,283.65
291.32,291.92
292.93,294.08
295.62,296.28
297.1,298.03
