Stop,Start
14.398,14.998
26.83,27.597
33.23,33.746
38.162,38.696
41.279,42.162
43.062,43.545
45.295,46.228
55.327,56.127
58.577,59.077
60.627,61.443
66.776,67.726
70.659,71.225
86.224,86.974
89.523,90.107
91.807,92.39
93.74,94.64
104.66,105.37
106.34,107.09
110.05,114.24
124.54,125.2
136.58,137.52
147.02,148.27
151.45,154.03
169.23,170.36
171.21,171.9
183.05,184.3
190.41,195.55
196.86,197.38
200.71,201.28
203.23,203.76
205.09,205.68
211.83,212.59
214.26,215.06
221.46,222.14
225.23,226.27
234.04,234.72
236.31,237.07
240.26,245.07
255.74,256.54
260.54,261.05
264.39,266.84
273.6,274.84
292.62,293.43
304.13,304.95
