Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
0,-6.6417455020229e-05,0.029896969170176,0.0097852697353274,0.0072951574229992,0.00909567678218462,0.0224490586022863,2.12097377752686,0.00123665801395715,0.00238065900059476,0.00317525170546382,0.00520646143823152,806.5533,1093.9961,941.1148,584.9595,416.6964,559.2827,579.0303,665.2148,562.1365,1968.634,3517.5503,970.6791,252.6177,912.0471,1519.1476,698.7817,0.696961378745831,1.79948904753865,3.73764210274878,1.6593953940401,0.606239218769349,1.63074434449698,2.62360639849072,1.05046024231572,0.65160029875759,1.71511669601782,3.18062425061975,1.35492781817791
0.1,-0.0278808828488669,-0.0238605065008811,-0.00519735115045007,-0.0552138143420342,-0.0210727709365601,0.0664776364483914,2.28406198709666,0.00393944324353656,-0.00308272245305646,0.00522906188360578,0.0298643153280159,946.0546,1146.9084,1080.7134,697.0114,452.0973,591.8911,626.0186,700.1174,688.6882,2248.4587,3834.1841,1098.3955,303.3575,1022.378,1609.1808,740.4413,0.72795819607029,1.96045185474272,3.54782692617673,1.57586446936162,0.671000468262031,1.72730760776771,2.57049998194942,1.05759591177137,0.699479332166161,1.84387973125521,3.05916345406307,1.31673019056649
0.2,-0.0922597872981889,-0.249393816697143,-0.00513869659044249,-0.10781089697465,-0.0437040012618512,0.117632011450087,1.44866988695107,-0.00264162706759619,-0.0778005498918688,-0.0195672122548094,0.133579582298425,965.9066,1112.4626,1005.5162,710.5138,447.8191,658.9351,649.9072,703.6373,787.7833,2363.009,3790.9736,1216.9644,313.0681,1005.4503,1707.6725,773.723,0.815589519732032,2.12412444247564,3.77017655210329,1.71279488167577,0.699095014035802,1.52587151602639,2.62756359677197,1.09960486745089,0.757342266883917,1.82499797925101,3.19887007443763,1.40619987456333
0.3,-0.125179187484156,-0.43782041089741,0.00293019874354833,-0.051171492163475,-0.0200661120351541,0.0602032899621643,-2.25108902080785,-0.0122733760647826,-0.241845740890692,-0.0815264661113911,0.324343766029347,946.3234,1119.4021,1067.0518,696.1864,445.2633,664.3173,670.6178,762.3744,844.7312,2270.5386,3628.781,1236.6873,343.6623,1034.5686,1682.9424,755.75,0.892645368380408,2.02834941974827,3.4007543026496,1.77637382746919,0.771818157930375,1.55734104771921,2.50954030745978,0.991310831003769,0.832231763155391,1.79284523373374,2.95514730505469,1.38384232923648
0.4,-0.09969450160538,-0.48298669554891,-0.0159685967634945,-0.00683504589888782,-0.0065287027732874,0.0262654047713022,-2.84812859721321,-0.0148991552465067,-0.354971590791594,-0.125008800763802,0.453652373656466,920.8098,1132.0077,1018.0623,769.4344,478.1276,605.801,653.5738,729.8028,833.8983,2187.0103,3462.0061,1288.2869,369.1902,985.3979,1666.8221,756.0786,0.905614058408153,1.9319747560021,3.40058373637841,1.67432974143085,0.772158310877682,1.62660329051949,2.55031964255605,1.03600397257999,0.838886184642918,1.7792890232608,2.97545168946723,1.35516685700542
0.5,-0.0150093563296126,-0.480595603097347,-0.0127520400702164,0.00392499020590427,-0.00240041474962848,0.0331266254799088,-2.8409630359296,-0.0274702322412331,-0.437054162479254,-0.160979977597413,0.561124877532216,871.756,1123.0566,1033.7388,746.1929,443.7986,613.8209,645.2141,716.5552,884.4872,2127.3596,3321.8159,1225.9368,353.4114,1022.2325,1531.0743,797.9894,1.01460408646456,1.89425857966553,3.21339965182694,1.64292209159321,0.796332841067998,1.66535955357662,2.3729709254649,1.1136467923197,0.90546846376628,1.77980906662108,2.79318528864592,1.37828444195645
0.6,0.0154816880444999,-0.491974232362332,-0.00137571661295269,-0.0186471991723722,-0.00847484845861089,0.0496277728803376,-2.83053153055269,-0.0462866441260086,-0.486864152600991,-0.187251547388176,0.661123440602213,919.1836,1105.4923,1044.6853,748.5527,437.2131,606.5937,626.3568,680.1972,948.6633,2180.3813,3142.1902,1220.7196,364.474,928.6702,1549.7849,760.4601,1.03207161224373,1.97231703920507,3.00778636398923,1.63077309052522,0.833630099372594,1.53095919064112,2.47428446533988,1.11799945662817,0.932850855808164,1.75163811492309,2.74103541466456,1.37438627357669
0.7,0.0780401533168,-0.598808427578199,-1.37934474834667e-05,-0.062488693672438,-0.0227258275798042,0.0784304068746785,-2.50041457610335,-0.058991176779151,-0.529612119016875,-0.210451060375822,0.762216018226357,952.0959,1080.4884,1025.1262,731.9174,469.0768,643.5445,605.5249,753.1608,995.0563,2153.8208,3124.1438,1154.8234,376.114,929.0136,1450.1661,813.0388,1.04512192521783,1.9933770691106,3.04756994797323,1.57780563763069,0.801817527534937,1.44358874949596,2.39489094502968,1.07950227892901,0.923469726376382,1.71848290930328,2.72123044650146,1.32865395827985
0.8,0.146070231691355,-0.696080840198488,0.00601725642513133,-0.0189092197939768,-0.019351776431013,0.044585879535267,-2.29258137050079,-0.0641411365618102,-0.595854379604248,-0.240885154061532,0.874732590848705,880.3077,1092.7938,1033.1034,730.5948,444.8544,602.7445,627.0205,730.6667,1113.3284,2160.344,2976.9019,1160.2626,426.2621,929.9675,1384.6432,777.9096,1.26470369394701,1.97689994214828,2.88151398979037,1.58810684116558,0.95820587590007,1.54288840462252,2.20829015957214,1.06465725069994,1.11145478492354,1.7598941733854,2.54490207468125,1.32638204593276
0.9,0.261393381158889,-0.818796101737654,0.00562637137362525,-0.08267655316384,-0.0290054400049139,0.0923705519615343,-1.96984579663835,-0.058302282007648,-0.652546617798988,-0.277269463982571,0.97601774596872,898.3458,1116.5657,1019.461,698.9465,445.2522,641.6806,616.912,709.1901,1135.0745,2116.3145,2925.8186,1086.3193,444.0731,933.71,1396.8876,784.6631,1.2635162317228,1.895378391079,2.86996618801504,1.55422382113652,0.997351837902205,1.45510087105641,2.26432230204632,1.10642139533533,1.1304340348125,1.67523963106771,2.56714424503068,1.33032260823593
