Start,Stop
4.4165,5.0498
5.5831,8.6497
9.483,9.8996
10.7,11.65
12.366,13.45
14.066,14.933
15.583,15.616
16.116,16.149
16.666,18.933
19.433,20.499
22.016,22.799
23.399,23.482
23.966,24.332
24.949,25.632
26.499,28.132
28.882,29.316
30.666,30.699
32.599,32.632
33.449,34.032
34.899,41.315
42.098,42.598
44.948,44.998
46.332,47.532
48.798,48.832
50.682,50.715
51.681,51.731
52.231,52.531
53.015,53.048
53.931,60.764
61.281,61.364
64.281,66.531
67.448,68.898
69.631,69.664
71.131,71.164
71.697,72.781
73.464,73.781
74.331,75.031
77.581,78.331
78.947,79.18
80.414,82.847
83.347,84.914
86.797,86.864
87.53,87.564
89.363,97.263
97.796,98.23
99.013,99.33
101.05,101.56
102.06,107.2
107.68,110.46
111,111.03
111.68,115.43
116.35,120.08
120.61,121.25
122.55,122.66
123.3,125.03
125.51,128.98
129.53,130.8
131.36,131.4
132.61,133.86
134.43,134.6
135.43,137.51
138,138.43
139.24,139.61
140.48,140.86
141.36,141.93
142.44,143.61
144.53,145.29
146.36,148.68
149.48,151.48
153.31,153.74
154.24,156.03
156.51,157.31
158.24,158.29
159.13,159.69
160.86,169.08
169.76,172.24
172.89,172.93
173.99,174.38
175.24,175.28
175.76,176.19
177.51,177.98
178.63,179.26
180.06,181.41
181.89,182.04
182.89,183.48
184.21,184.51
185.09,186.71
187.61,189.38
190.33,191.04
193.24,193.96
194.54,194.78
195.39,195.54
196.38,196.43
197.19,197.23
197.81,199.18
199.96,200.14
200.78,204.61
206.28,208.09
208.59,208.63
209.11,211.98
212.53,212.93
213.81,213.84
214.39,216.16
216.99,217.53
218.04,218.99
219.51,219.56
220.89,223.98
224.69,224.73
225.34,226.73
227.31,233.22
233.92,234.19
235.12,235.17
235.69,235.72
236.77,236.81
237.42,238.07
239.06,241.77
242.27,242.46
244.06,246.79
247.79,248.99
249.62,249.66
250.24,254.31
255.96,258.46
258.96,260.26
261.56,261.59
262.07,263.24
263.74,264.31
265.06,269.09
269.71,272.47
273.31,276.49
277.17,277.26
278.67,290.16
290.81,291.52
292.14,294.19
294.81,301.44
302.16,302.29
303.12,303.16
303.67,303.91
