Stop,Start
0.7,1.3833
1.8833,3.0667
4.1833,9.9833
11,12.467
13.2,18.217
18.717,19.25
19.467,20.3
20.633,23.35
24.4,28.35
28.967,30.017
31.433,35.133
35.417,40.867
44.8,45.333
45.367,47.167
60.417,61.2
66.683,67.317
68.717,69.217
69.733,70.283
71.2,71.75
73.767,74.8
90.617,91.217
92.533,94.133
94.8,95.533
96.8,98.083
110.45,110.97
118.58,119.48
125.53,126.03
136.7,137.28
138.5,139.15
142.4,143.18
148.32,149.53
151.5,152.05
178.37,179.05
185.45,185.98
193.52,194.83
198.42,201.05
208.55,209.13
210.92,211.63
212.38,213.12
213.65,214.5
221.07,221.73
222.95,223.9
224.47,225.02
230.57,231.48
235.12,235.75
240.13,240.67
241.97,245.4
247.22,248.05
263.15,263.7
267.97,268.93
268.97,269.8
271.25,271.98
276.98,277.85
278.77,280
284.47,285.23
286.25,286.97
288.82,289.38
293.08,294.12
295.8,296.5
