TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
0.0,1566.3589,1624.4658,1190.0610000000001,866.3501,1107.1526,1814.4331,1759.7234,1044.9904,2080.0183,4772.5459,5349.5356,2167.3914,1306.7291,4493.644,5956.186,1575.6085,0.007485623556558025,0.01142092250262675,0.02483007643731075,-140.34886981181984,,,0.0,
0.1,1568.8139999999999,1635.5663,1279.0354,920.5884,1121.4565,1831.8792,1751.5782,1094.8184,2118.6035,4861.6978,5521.813,2150.4568,1321.6716,4644.752,5976.3633,1576.4468,-0.012779173904983116,-0.004667775724928379,-0.014722971780207615,-140.99628147292938,,,0.0,
0.2,1598.3187,1705.6970000000001,1218.9674,910.8532,1166.0411,1764.3246,1807.7424,1106.4799,2448.9597,5247.3301,5521.041,2173.8577,1488.7291,5031.7773,5960.9204,1607.469,-0.0309576892045624,-0.00946516418826334,-0.0616289692585838,-128.07394818494004,,,0.0,
0.30000000000000004,1669.5739999999998,1689.476,1246.1075,911.1587,1187.9995,1858.3409,1763.6729,1125.5526,2803.1606,5528.6489,5427.6719,2281.8181,1634.9961,5167.2715,5750.9453,1642.3463,-0.016922305616890686,-0.008966420188147367,-0.023876873263536602,-110.16182628307162,,,0.0,
0.4,1625.5491,1655.4152,1247.8425,929.79,1179.7064,1823.5715,1755.6516,1080.353,2964.5642,5639.0835,5227.8003,2261.2598,1760.7428,5316.6631,5533.4575,1601.1239,0.002102593939434369,-0.003938559734231423,-0.00034245059933435,-108.27920903493607,,,0.0,
0.5,1646.3412,1662.7274,1232.0889,904.2993,1169.7921,1815.691,1794.8065,1067.4696,3089.8855,5639.8774,5016.2007,2283.0339,1823.5020000000002,5249.9746,5304.3125,1630.4811,-0.0028159853086102992,-0.0022878554228629782,-0.0003406089878688178,-106.69513804596222,,,0.0,
0.6000000000000001,1632.6914,1724.2523,1237.4242,892.6674,1162.3485,1877.1378,1811.8994,1071.9476,3264.4265,5411.6177,4809.7749,2291.345,1919.9995,5123.6689,5096.3555,1599.3169,0.008403987007863581,-0.011594017986576487,0.017437607059963715,-109.68976207817433,,,0.0,
0.7000000000000001,1635.2379,1704.0371,1208.5114,896.8826,1183.7539,1861.9392,1755.7739,1065.9423,3320.7859,5241.6777,4515.897,2271.5229,1916.0643,4945.0605,4807.0903,1566.5304,0.0563495139712043,-0.0011320006815955666,0.10526150343866468,-133.31024867648537,,,0.0,
0.8,1631.2236,1632.254,1259.4177,893.3636,1151.198,1889.9948,1751.2358,1080.9398,3537.1235,5120.3926,4368.2803,2211.0366,1964.7351,4780.563,4626.8945,1590.8167,0.03528432371720743,0.009265150466348192,0.09112113547689,-166.63769486735652,,,0.0,
0.9,1619.4296,1664.995,1265.9587,900.2518,1154.3849,1786.5558,1778.4489,1059.8461,3755.6538,5037.8345,4165.5347,2245.2891,2151.1797,4704.3721,4285.0293,1579.142,0.029523184689312445,0.0024782581314539832,0.08668486775863717,162.6230581122827,89.93739556083506,,0.0,
