Pulse,Trial,On,Off,Include,G2_neg10_0,G2_neg10_0_mv,G3_neg10_0,G3_neg10_0_mv,G4_neg10_0,G4_neg10_0_mv,G5_neg10_0,G5_neg10_0_mv,d_G2_1_4,d_G2_1_4_mv,d_G3_1_4,d_G3_1_4_mv,d_G4_1_4,d_G4_1_4_mv,d_G5_1_4,d_G5_1_4_mv,d_h_1_4,d_h_1_4_mv,d_h_7_10,d_h_7_10_mv,d_v_1_4,d_v_1_4_mv,d_v_7_10,d_v_7_10_mv,h_neg10_0,h_neg10_0_mv,v_neg10_0,v_neg10_0_mv,x_c_1,x_c_2,x_c_3,x_c_4,y_c
0,20170201.Fly2.2,60,70,Include,1.7379297329293066,1.7958168566259485,2.027567441133245,2.155559592248042,2.3472584947876554,2.4970959357820126,1.1855784281739805,1.1639311413447484,0.2268282129373764,0.2268282129373764,0.1460972514888578,0.1460972514888578,0.06447566803591134,0.06447566803591134,0.1074460348206125,0.1074460348206125,-0.028543628333333404,-0.028543628333333404,0.6060918754666665,0.6060918754666665,0.005730979482173278,0.005730979482173278,0.005439270795062054,0.005439270795062054,0.335921209,0.35582560595238094,0.018970220717842746,0.02259994583464044,-1.0697265231330868,-0.1526767582598466,-0.5823002692260952,0.8954269889275661,-1.9385543191244687
1,20170428.Fly1.7,60,70,Include,2.3830758264724525,2.4657227101142802,3.222944480240747,3.266081794721012,3.560695354881257,3.569734793908575,2.2682775985187216,2.1900175283072967,-0.11471766694483378,-0.12384280595808055,-0.04655425261560204,-0.019161622695513216,0.013491696691142677,0.034546868591213926,0.1725183242379446,0.16407282964740127,-0.14531018649999997,-0.10605528266521738,0.039847866900000084,0.04739290872608698,0.004783483468317688,0.011866578585025898,0.007903371458308751,0.014961817170155843,0.3286406991,0.398313125443038,0.01838192075329087,0.02299614680790066,-1.1066339932226987,-1.7778229971730277,-1.0492718241810983,1.1583386553903037,-5.0321853584890555
2,20170428.Fly5.1,60,70,Exclude,0.9807427625486546,0.7453302216254236,1.0229713976928825,1.052949968266307,1.6998006479802539,2.15795191585669,0.7562235430441165,0.8078500845428718,-0.03640891331078154,,-0.07043709240615639,,0.026528359584757667,,0.014069104799137337,,-0.01552883799999999,,0.0614487366666667,0.13321888950000002,0.0002257811268563004,,0.004812039855026109,0.008935008029978675,0.073959638,0.07303523636363636,4.648727113706836e-06,0.00036327967251514274,0.31751164507887547,-1.072360847716275,-1.1184248567627024,-0.46350421948710274,-2.3235351197835286
3,20170310.Fly3.2,60,70,Include,0.8643122515261443,0.867089528844123,0.9407750913385147,0.9459691626698152,1.2934080771175784,1.284106442729847,0.6956059566639295,0.7030771176370408,-0.0070929081657555735,-0.0070929081657555735,0.004401391736067285,0.004401391736067285,0.09157208890807063,0.09157208890807063,0.010565599350805336,0.010565599350805336,0.08192787029333343,0.08192787029333343,0.09684075562666666,0.09684075562666666,0.014219095418827127,0.014219095418827127,-0.008605954012027558,-0.008605954012027558,0.4041355710399999,0.4348332758681318,0.05726613057412808,0.06269103721572242,0.40295051609575205,1.1109041404683564,0.6384143480311039,-0.480901513895551,2.512573652947729
4,20170428.Fly5.2,60,70,Include,1.5226210345187294,1.6278194326813775,1.598527266559237,1.9437184710844342,2.24564973196452,2.585924211375029,1.073550457587316,1.072638212493393,0.3079258668910537,0.3079258668910537,0.30179530248487657,0.30179530248487657,0.06436913338703505,0.06436913338703505,-0.025300074946870914,-0.025300074946870914,0.3346951243999999,0.3346951243999999,-0.006535553066666644,0.05752324693333333,0.005932439148863225,0.005932439148863225,-0.0011795594931859475,0.015562807204882725,0.2732820864,0.26662935111111113,0.0032891027989335065,0.009183811425601505,-0.5764319406487174,0.34048049006131287,0.5729216735098389,-1.422329104664329,-0.23122228780408904
5,20170331.Fly1.2,60,70,Include,1.635728556643384,1.5870075070520882,1.8330241868418196,1.980455162442195,1.8989636198802389,2.0726877088966975,0.9238753661604643,0.9008813742656082,0.1178244967521951,0.15612402562011207,0.09911037195007628,0.1108375242710638,0.009720699061450202,-0.008301602531126825,-0.05960750252607423,-0.06610978776648221,-0.3002236296666667,-0.25977554,0.017402644999999883,0.2011487988461539,0.003507583611179952,0.007304885281340198,-0.0017321372529204068,0.012174560737640585,0.570649355,0.6344775158730158,0.012410966334167606,0.01961270272209891,1.7205031940544384,0.5566985385884052,-2.1853372252326895,-1.6622579582261383,0.39824267512976663
6,20170310.Fly3.1,60,70,Exclude,0.7474041039727025,0.7482558940681154,0.7640813477697302,0.7625126384108533,1.2379132848688388,1.2462285638231718,0.4487341814492635,0.4511018733605562,0.018744254894540555,0.018744254894540555,-0.014033166029424239,-0.014033166029424239,-0.02234970434394565,-0.02234970434394565,-0.06858633451991769,-0.06858633451991769,-0.07891260533333333,-0.07891260533333333,-0.0346033653333333,-0.0346033653333333,0.01418469306163507,0.01418469306163507,0.023946333866250384,0.023946333866250384,0.655570006,0.6839083093023256,0.032150533688021656,0.037125421256299126,-0.45058560417101184,0.21142501664705635,0.007793508131667652,-0.16065073946480957,-1.0286192545431017
7,20170428.Fly2.1,60,70,Exclude,1.4765412371046487,1.475930532256822,1.7115464007347112,1.6898843492986095,0.9886086142147971,0.9641719726385964,0.6481111549703685,0.6414156929800899,0.04739759432069051,0.10690237463212626,-0.19201076404118683,-0.17701720641622787,-0.23008770694757189,-0.25665113211726454,-0.1019225985604604,-0.15329156804245897,0.24560983000000025,0.3777995799999998,-0.7903261700000002,-0.8090007154545455,-0.005578804970591912,0.0032553530787547413,-0.011009591145884049,-0.006044770236282925,1.1062956700000002,1.1402174096385544,0.02614892384510482,0.028390225928561958,0.27423480930181504,-1.1973631088724985,0.8171866666467963,-0.5623247799991196,-1.4238363223638886
8,20170131.Fly1.1,60,70,Include,1.5007253648204386,1.4820026425195176,1.6298946804465393,1.6225834639601127,2.1832713849935312,2.2103138091022863,0.9527598035528585,0.960927702661212,0.1231815935119136,0.13489523896324934,0.07458351660505173,0.06844779274457899,0.019280573428975403,-0.008034599697357097,0.0655782490938142,0.04954661128395758,0.26593459673333336,0.26524789976363644,0.13983839140000004,0.19344102636296306,0.0032528305433838275,0.007835285360277788,-0.0014979525868102587,-0.0006526141463812432,0.3724537366,0.4251734276666667,0.011530042612889771,0.017809677401818217,2.4071310687969505,1.7525314233764375,-0.008371728859115142,-0.6488279521648386,5.3530635363299455
9,20170131.Fly2.1,60,70,Include,1.2695393774577293,1.2772731004733302,1.441868484428759,1.461099454496469,2.097964530490567,2.104746253840703,1.0356163803897593,1.038531453448792,-0.010340515154633762,-0.010340515154633762,0.049603128364428664,0.049603128364428664,0.1488532390558245,0.1488532390558245,0.3767275427490743,0.3767275427490743,0.32752982200400016,0.32752982200400016,1.6006735993373333,1.6006735993373333,0.03336541081350908,0.03336541081350908,0.01849219369030125,0.01849219369030125,0.30889081799599993,0.3438930849168539,0.016476065967956907,0.018332908060527803,2.4886240118489664,-0.8948071336499077,-0.16291025146164656,-2.0321371408412237,1.5225099407761415
