Pulse,Trial,On,Off,Include,G2_neg10_0,G2_neg10_0_mv,G3_neg10_0,G3_neg10_0_mv,G4_neg10_0,G4_neg10_0_mv,G5_neg10_0,G5_neg10_0_mv,d_G2_1_4,d_G2_1_4_mv,d_G3_1_4,d_G3_1_4_mv,d_G4_1_4,d_G4_1_4_mv,d_G5_1_4,d_G5_1_4_mv,d_h_1_4,d_h_1_4_mv,d_h_7_10,d_h_7_10_mv,d_v_1_4,d_v_1_4_mv,d_v_7_10,d_v_7_10_mv,h_neg10_0,h_neg10_0_mv,v_neg10_0,v_neg10_0_mv,x_c_1,x_c_2,x_c_3,x_c_4,y_c
0,20170822.Fly1.1,30,40,Include,1.2339602040816327,1.2339602040816327,1.2247122448979593,1.2247122448979593,2.0565102040816323,2.0565102040816323,1.023413673469388,1.023413673469388,0.1711560836563214,0.1711560836563214,0.10508679812056342,0.10508679812056342,-0.23415081357692674,-0.23415081357692674,-0.2980876792163031,-0.2980876792163031,0.9549719649072224,0.9549719649072224,2.2402651760183336,2.2402651760183336,-0.04556706670111111,-0.04556706670111111,-0.020089671539999996,-0.020089671539999996,0.33538749064833334,0.33538749064833334,0.04590903867333333,0.04590903867333333,-1.854812836730354,1.6619734217259583,-1.3776066261835622,0.06250197455854731,-1.446502058107627
1,20170822.Fly1.1,90,100,Include,1.5521755102040815,1.5521755102040815,1.4291051020408163,1.4291051020408163,1.9660408163265306,1.9660408163265306,1.0589545918367347,1.0589545918367347,0.004622215560516718,0.004622215560516718,0.002296237429398431,0.002296237429398431,-0.04625242207828144,-0.04625242207828144,-0.08154733530196744,-0.08154733530196744,-0.678057960888889,-0.678057960888889,-0.10778730777777779,-0.10778730777777779,0.002738503325555551,0.002738503325555551,-0.035707183652222224,-0.035707183652222224,0.8648421233333334,0.8648421233333334,0.05170697656333333,0.05170697656333333,-0.485769179457214,0.7245593624804488,-1.1755758799164115,-0.0504842127438236,-1.0395374876189862
2,20170822.Fly1.1,150,160,Include,1.7709380000000003,1.7709380000000003,1.659659,1.659659,2.18898,2.18898,1.0414164000000001,1.0414164000000001,-0.1800108191252322,-0.1800108191252322,-0.09003781916832121,-0.09003781916832121,-0.20298143778943029,-0.20298143778943029,-0.1946755621257003,-0.1946755621257003,-0.27657811277777844,-0.27657811277777844,1.2581740949999987,1.2581740949999987,-0.011038441628888899,-0.011038441628888899,-0.02499546990666667,-0.02499546990666667,1.3688597383333339,1.3688597383333339,0.037736694406666674,0.037736694406666674,0.5500630693655123,0.4943314210110925,-0.46891020467779904,0.05828014368528627,0.4633717039957933
3,20170822.Fly1.1,210,220,Include,1.670378787878788,1.670378787878788,1.892243434343434,1.892243434343434,1.9568797979797983,1.9568797979797983,1.3697573737373738,1.3697573737373738,-0.03653692950341013,-0.03653692950341013,-0.006200623716218076,-0.006200623716218076,0.09683229789232024,0.09683229789232024,-0.24280599699521951,-0.24280599699521951,-1.2585293327777771,-1.2585293327777771,-0.5585191977777773,-0.5585191977777773,-0.015521063432222235,-0.015521063432222235,-0.01515731053000002,-0.01515731053000002,1.9983170866666662,1.9983170866666662,0.043281396530000016,0.043281396530000016,-1.000503554944308,-1.2325202135895623,-2.3126432856399335,-0.719141420892429,-3.6724886323803076
4,20180131.Fly4.3,30,40,Exclude,0.8529435000000001,0.8529435000000001,0.8943567,0.8943567,0.8685934999999999,0.8685934999999999,0.7324863999999998,0.7324863999999998,0.005483559774670445,0.005483559774670445,-0.08996451490402729,-0.08996451490402729,0.004577323377774862,0.004577323377774862,-0.048639901937655806,-0.048639901937655806,0.2570363159593845,0.2570363159593845,0.2884917365943047,0.2884917365943047,0.01129369948085902,0.01129369948085902,-0.012201204277871152,-0.012201204277871152,1.7029902078501398,1.7029902078501398,0.02059422182072829,0.02059422182072829,0.7374518417258966,-0.4932776291708565,0.2167605431717876,-0.4965571599785226,-1.5900859719869391
5,20180131.Fly4.3,70,80,Exclude,0.6604330927835051,0.6721044047619048,0.7069676288659793,0.7362611904761904,1.210602474226804,1.2108297619047619,0.5551415463917525,0.5765992857142855,-0.029732650182742182,-0.029732650182742182,0.3267896506632705,0.3267896506632705,0.07450631209952231,0.07450631209952231,0.306461396582612,0.306461396582612,1.646957553291855,1.646957553291855,0.8497449773436505,0.8497449773436505,0.018926233970588964,0.018926233970588964,-0.012810791725317471,-0.012810791725317471,0.6390573339261905,0.7433818203854875,0.024290389217380956,0.02841163946995465,-1.4648121732311166,-1.2742907255083347,-0.8564149091056983,0.9198696904152618,-2.349832114557472
6,20180131.Fly4.3,110,120,Include,0.8567161797752808,0.8567161797752808,0.8518621348314609,0.8518621348314609,0.8789215730337077,0.8789215730337077,0.6070886516853933,0.6070886516853933,-0.22328380268494932,-0.22328380268494932,0.08497251164105368,0.08497251164105368,0.4771462056454445,0.4771462056454445,0.3558596388103176,0.3558596388103176,,,-1.5660563952845534,-1.5660563952845534,,,0.009994093750677512,0.009994093750677512,2.19220262195122,2.19220262195122,0.021872475471544712,0.021872475471544712,-0.26195441385691387,1.7353164169242523,1.7560509020316568,-0.09999824383899611,5.430353281282203
7,20180131.Fly4.3,150,160,Exclude,0.8129802061855671,0.8129802061855671,0.9483660824742268,0.9483660824742268,1.132801391752577,1.132801391752577,0.63045,0.63045,-0.16061183735302562,-0.16061183735302562,-0.06372795246999512,-0.06372795246999512,0.355029096299973,0.355029096299973,0.03922442455633042,0.03922442455633042,-0.22511969633240136,-0.22511969633240136,-0.9694332596277777,-0.9694332596277777,-0.0033388125503105645,-0.0033388125503105645,-0.018533465687301583,-0.018533465687301583,2.191783899230952,2.191783899230952,0.019050276028571428,0.019050276028571428,0.7082087365898936,-0.6190703636996926,-0.11351073319313187,-0.7234988485510913,-0.0537760701432327
8,20180131.Fly4.3,190,200,Include,0.8068457291666666,0.8068457291666666,0.9531031250000002,0.9531031250000002,1.10902125,1.10902125,0.7331857291666665,0.7331857291666665,-0.05341815711140045,-0.05341815711140045,-0.1575879921268966,-0.1575879921268966,0.13231964827016415,0.13231964827016415,-0.11951838934744025,-0.11951838934744025,-0.5920122694327725,-0.5920122694327725,-1.177370541337535,-1.177370541337535,-0.00604529366224556,-0.00604529366224556,-0.0016318271989122363,-0.0016318271989122363,1.6929881846708683,1.6929881846708683,0.012610822806372548,0.012610822806372548,0.9010297605601132,1.5252942409074972,0.5937873258681255,1.3438333807031348,1.9425399343438352
9,20180120.Fly1.1,30,40,Include,1.0235640404040403,1.0235640404040403,1.1531373737373736,1.1531373737373736,0.8090452525252525,0.8090452525252525,0.5900577777777778,0.5900577777777778,0.05567242564207247,0.05567242564207247,0.05811041637833056,0.05811041637833056,-0.00460368050731433,-0.00460368050731433,0.030897350918553848,0.030897350918553848,1.592903128333334,1.592903128333334,-0.19681434833333367,-0.19681434833333367,-0.022775176166666647,-0.022775176166666647,0.0008260036944444521,0.0008260036944444521,0.8741135383333335,0.8741135383333335,0.04090186074999999,0.04090186074999999,-0.6725519583695191,-0.3161125784349079,0.36557781064611594,-0.8726114076732914,0.9520996925714817
